Team Number,Advisor,Problem,Ranking,Institution ID,Institution Name,City,State/Province,Country
38514,Feng Zhou,D,Meritorious,6,Albion College,Albion,Mi,Usa
38817,Tianping Shuai,A,Meritorious,6,Albion College,Albion,Mi,Usa
38736,Yongjiang Guo,D,Meritorious,6,Albion College,Albion,Mi,Usa
34429,Xiaoru Wang,D,Meritorious,6,Albion College,Albion,Mi,Usa
38512,Zuguo He,D,Meritorious,6,Albion College,Albion,Mi,Usa
37784,Qing Sheng,D,Meritorious,6,Albion College,Albion,Mi,Usa
37717,Zhao Xin Chao,A,Meritorious,6,Albion College,Albion,Mi,Usa
33338,Yong Sun,B,Meritorious,6,Albion College,Albion,Mi,Usa
37440,Yong Zuo,C,Meritorious,6,Albion College,Albion,Mi,Usa
37288,Yong Zuo,D,Meritorious,6,Albion College,Albion,Mi,Usa
38823,Zuguo He,D,Meritorious,6,Albion College,Albion,Mi,Usa
37274,Yong Zuo,D,Meritorious,6,Albion College,Albion,Mi,Usa
37104,Hujiang Yang,A,Meritorious,6,Albion College,Albion,Mi,Usa
33571,Mei Song,A,Meritorious,6,Albion College,Albion,Mi,Usa
37057,Wensheng Sun,D,Meritorious,6,Albion College,Albion,Mi,Usa
37042,Yi Chen,D,Meritorious,6,Albion College,Albion,Mi,Usa
36890,Zuguo He,C,Meritorious,6,Albion College,Albion,Mi,Usa
34453,Wenjun Liu,D,Meritorious,6,Albion College,Albion,Mi,Usa
34446,Zhongbao Zhang,A,Meritorious,6,Albion College,Albion,Mi,Usa
34439,Huixia Mo,A,Meritorious,6,Albion College,Albion,Mi,Usa
33708,Xiaohang Zhang,A,Meritorious,6,Albion College,Albion,Mi,Usa
37256,Yong Zuo,D,Meritorious,6,Albion College,Albion,Mi,Usa
38953,Jianhua Yuan,C,Meritorious,6,Albion College,Albion,Mi,Usa
34061,Jie Zhang,C,Meritorious,6,Albion College,Albion,Mi,Usa
39204,Wenbo Zhang,A,Meritorious,6,Albion College,Albion,Mi,Usa
32392,Li Liu,A,Meritorious,6,Albion College,Albion,Mi,Usa
38960,Tianping Shuai,A,Meritorious,6,Albion College,Albion,Mi,Usa
39696,Wenbo Zhang,A,Meritorious,6,Albion College,Albion,Mi,Usa
39406,Wenbo Zhang,A,Meritorious,6,Albion College,Albion,Mi,Usa
39402,Wenbo Zhang,A,Meritorious,6,Albion College,Albion,Mi,Usa
39360,Wenbo Zhang,D,Meritorious,6,Albion College,Albion,Mi,Usa
40195,Xinchao Zhao,B,Meritorious,6,Albion College,Albion,Mi,Usa
39893,Yong Zuo,A,Meritorious,6,Albion College,Albion,Mi,Usa
32466,Bin Wu,B,Meritorious,6,Albion College,Albion,Mi,Usa
39263,Qing Zhou,D,Meritorious,6,Albion College,Albion,Mi,Usa
39257,Wenbo Zhang,D,Meritorious,6,Albion College,Albion,Mi,Usa
39255,Wenbo Zhang,D,Meritorious,6,Albion College,Albion,Mi,Usa
39250,Wenbo Zhang,A,Meritorious,6,Albion College,Albion,Mi,Usa
39238,Wenbo Zhang,A,Meritorious,6,Albion College,Albion,Mi,Usa
39237,Wenbo Zhang,D,Meritorious,6,Albion College,Albion,Mi,Usa
39229,Wenbo Zhang,B,Meritorious,6,Albion College,Albion,Mi,Usa
39282,Wenbo Zhang,D,Meritorious,6,Albion College,Albion,Mi,Usa
32599,Hua Tian,A,Meritorious,6,Albion College,Albion,Mi,Usa
36170,Chengdong Dong,A,Meritorious,8,Amherst College,Amherst,Ma,Usa
41378,Chuan Ding,C,Meritorious,16,Appalachian State University,Boone,Nc,Usa
32218,Dai Dai,B,Meritorious,16,Appalachian State University,Boone,Nc,Usa
34438,Meng Wu,A,Meritorious,16,Appalachian State University,Boone,Nc,Usa
34510,Dai Dai,A,Meritorious,16,Appalachian State University,Boone,Nc,Usa
32701,Ding Chuan,A,Meritorious,16,Appalachian State University,Boone,Nc,Usa
35186,Dai Dai,A,Meritorious,16,Appalachian State University,Boone,Nc,Usa
36733,Dai Dai,A,Meritorious,16,Appalachian State University,Boone,Nc,Usa
37090,Jie Ma,A,Meritorious,16,Appalachian State University,Boone,Nc,Usa
33030,Yunlong Sun,B,Meritorious,16,Appalachian State University,Boone,Nc,Usa
37508,Yunlong Sun,D,Meritorious,16,Appalachian State University,Boone,Nc,Usa
37687,Dai Dai,A,Meritorious,16,Appalachian State University,Boone,Nc,Usa
34615,Meng Wu,B,Meritorious,16,Appalachian State University,Boone,Nc,Usa
